iter	Passed	Remaining
642	2079	1154
643	2080	1150
644	2084	1147
645	2087	1143
646	2088	1139
647	2090	1135
648	2092	1131
649	2095	1128
650	2098	1125
651	2100	1121
652	2102	1116
653	2110	1116
654	2113	1113
655	2114	1109
656	2117	1105
657	2124	1104
658	2125	1099
659	2128	1096
660	2131	1093
661	2133	1089
662	2137	1086
663	2139	1082
664	2141	1078
665	2142	1074
666	2143	1070
667	2145	1066
668	2146	1061
669	2152	1060
670	2153	1056
671	2155	1051
672	2156	1047
673	2157	1043
674	2158	1039
675	2161	1035
676	2167	1034
677	2169	1030
678	2171	1026
679	2172	1022
680	2174	1018
681	2175	1014
682	2182	1012
683	2184	1009
684	2188	1006
685	2189	1002
686	2191	998
687	2197	996
688	2199	992
689	2200	988
690	2201	984
691	2203	980
692	2204	976
693	2205	972
694	2207	968
695	2216	967
696	2218	964
697	2220	960
698	2221	956
699	2223	952
700	2228	950
701	2230	946
702	2231	942
703	2232	938
704	2233	934
705	2234	930
706	2235	926
707	2240	924
708	2242	920
709	2243	916
710	2244	912
711	2245	908
712	2247	904
713	2248	900
714	2249	896
715	2250	892
716	2251	888
717	2254	885
718	2256	881
719	2257	877
720	2258	873
721	2259	870
722	2261	866
723	2262	862
724	2264	858
725	2271	857
726	2272	853
727	2273	849
728	2274	845
729	2276	841
730	2277	838
731	2278	834
732	2279	830
733	2281	826
734	2282	823
735	2284	819
736	2286	815
737	2287	812
738	2288	808
739	2289	804
740	2290	800
741	2297	798
742	2298	795
743	2300	791
744	2301	787
745	2302	783
746	2303	780
747	2304	776
748	2305	772
749	2306	768
750	2310	766
751	2312	762
752	2314	759
753	2315	755
754	2317	751
755	2318	748
756	2319	744
757	2320	740
758	2326	738
759	2328	735
760	2329	731
761	2330	727
762	2331	724
763	2333	720
764	2334	716
765	2335	713
766	2336	709
767	2340	707
768	2343	703
769	2344	700
770	2345	696
771	2346	693
772	2347	689
773	2348	685
774	2350	682
775	2351	678
776	2356	676
777	2357	672
778	2358	669
779	2359	665
780	2360	662
781	2362	658
782	2363	654
783	2364	651
784	2365	647
785	2366	644
786	2369	641
787	2372	638
788	2373	634
789	2374	631
790	2376	627
791	2377	624
792	2378	620
793	2379	617
794	2380	613
795	2381	610
796	2387	608
797	2389	604
798	2390	601
799	2391	597
800	2392	594
801	2393	591
802	2394	587
803	2395	584
804	2396	580
805	2400	577
806	2402	574
807	2405	571
808	2406	568
809	2408	565
810	2409	561
811	2410	558
812	2412	554
813	2417	552
814	2418	549
815	2419	545
816	2420	542
817	2422	538
818	2423	535
819	2424	532
820	2425	528
821	2426	525
822	2429	522
823	2432	519
824	2434	516
825	2435	513
826	2436	509
827	2437	506
828	2438	503
829	2439	499
830	2440	496
831	2441	493
832	2447	490
833	2449	487
834	2450	484
835	2452	481
836	2453	477
837	2454	474
838	2455	471
839	2456	467
840	2457	464
841	2462	462
842	2464	458
843	2465	455
844	2467	452
845	2468	449
846	2469	446
847	2470	442
848	2471	439
849	2472	436
850	2476	433
851	2478	430
852	2479	427
853	2480	424
854	2481	420
855	2482	417
856	2483	414
857	2484	411
858	2486	408
859	2487	404
860	2488	401
861	2493	399
862	2495	396
863	2496	392
864	2497	389
865	2498	386
866	2499	383
867	2500	380
868	2501	377
869	2502	373
870	2507	371
871	2509	368
872	2511	365
873	2513	362
874	2514	359
875	2516	356
876	2517	353
877	2518	349
878	2524	347
879	2525	344
880	2526	341
881	2528	338
882	2529	335
883	2530	332
884	2531	328
885	2532	325
886	2533	322
887	2539	320
888	2540	317
889	2541	314
890	2542	311
891	2543	308
892	2545	304
893	2546	301
894	2547	298
895	2548	295
896	2553	293
897	2555	290
898	2556	287
899	2557	284
900	2558	281
901	2559	278
902	2560	275
903	2562	272
904	2563	269
905	2564	266
906	2567	263
907	2570	260
908	2571	257
909	2573	254
910	2574	251
911	2579	248
912	2581	246
913	2583	243
914	2584	240
915	2586	237
916	2587	234
917	2588	231
918	2594	228
919	2595	225
920	2596	222
921	2598	219
922	2599	216
923	2600	213
924	2602	210
925	2603	208
926	2604	205
927	2607	202
928	2609	199
929	2611	196
930	2613	193
931	2614	190
932	2615	187
933	2616	184
934	2617	181
935	2619	179
936	2625	176
937	2626	173
938	2628	170
939	2629	167
940	2630	164
941	2632	162
942	2633	159
943	2634	156
944	2638	153
945	2640	150
946	2642	147
947	2644	145
948	2645	142
949	2646	139
950	2647	136
951	2648	133
952	2649	130
953	2654	128
954	2656	125
955	2657	122
956	2658	119
957	2659	116
958	2660	113
959	2661	110
960	2662	108
961	2663	105
962	2665	102
963	2668	99
964	2669	96
965	2670	94
966	2672	91
967	2673	88
968	2674	85
969	2675	82
970	2676	79
971	2677	77
972	2683	74
973	2685	71
974	2686	68
975	2687	66
976	2688	63
977	2689	60
978	2691	57
979	2692	54
980	2693	52
981	2695	49
982	2699	46
983	2700	43
984	2701	41
985	2703	38
986	2704	35
987	2705	32
988	2706	30
989	2712	27
990	2713	24
991	2714	21
992	2715	19
993	2716	16
994	2718	13
995	2719	10
996	2720	8
997	2721	5
998	2725	2
999	2727	0
